Rating,Review,Score,Sentiment
1,i bought of those sandisk gb microsd used them on my galaxy note and galaxy sfirst one my phone started saying it was removed then recognize it again then diedi thought its just a luck plugged in the nd one stayed for about months and died suddenly and lost everythingnever buying from sandisk again ever,"{'neg': 0.1, 'neu': 0.849, 'pos': 0.051, 'compound': -0.4404}",neutral
1,i bougth this micro sd card after some trubles with other that i got from kingston i can tell that sandisk is other quality this is the best my i phone can read a gb very fast the dta transfer speed from my pc to my is amazing if you are looking for additional storage to you phone for music pictures and other type of files this is for youprosvery good quality materials of constructionamazing speedupdate after one year this memory is damaged i can not delete or put new files on it i can not format this memory i tried to format with my phone with my pc with a camera and nothing now this is like a gb cd the data in the memory is only available to read but i can not move or delete it i bought this memory to be used to backup all my data of my android device but now is only a readable memory i can not write data on it any more i hope sandisk make a better products in the future total disagree i will buy a samsung memory card expected a better quality,"{'neg': 0.028, 'neu': 0.864, 'pos': 0.108, 'compound': 0.9365}",positive
1,ordered this for a galaxy s lasted a few months and then broke is not accessible on several different pcssays limited lifetime warranty bs you have one month for eco zone not only did i lose pictures but now i am out because of a crappy return policyin the future i will be buying kingston not sandiskupdate amazon customer service made good and refunded my purchase price i still will not be buying any more sandisk memory cards however,"{'neg': 0.125, 'neu': 0.807, 'pos': 0.068, 'compound': -0.5496}",negative
1,i have an old sandisk sd card that still works i thought their new cards would be just as reliable but i was wrongthe microsd card failed yesterday inside my phone i used the adapter to connect it to my computer but it wouldnt mounti bought this directly from amazon and not a third party vendor so i know its genuine sandisk,"{'neg': 0.118, 'neu': 0.85, 'pos': 0.033, 'compound': -0.742}",negative
1,i bought this on august of as of april the card stopped functioning it can still be read but the writing capability is gone thats less than one year im extremely disappointed in the longevity of this card my usage of it has been on my galaxy s i have about gb of data in it guess im going to have to look for another card that has a longer lifespan than this one,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.7218}",negative
1,i routinely use sdxc cards up to gb and this card was unreadable on arrival both of my pcs said it needed to be formatted and as a last resort i let one of them try windows iwith uptodate sdxc drivers and it could not format it its on its way back to amazon im glad their returns are so easy,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.8147}",positive
1,had to return this item it would not fit properly into the adapter that it came with return was no problem but i am reluctant to buy another one,"{'neg': 0.238, 'neu': 0.762, 'pos': 0.0, 'compound': -0.671}",negative
1,having used sandisk before in my photography i of course went to them when it was time to outfit my new samsung galaxy s with an internal microsd card i spent the extra bucks over comparably no name micro sd cards and bought this variant i took quite a few pictures and even transferred an album from my computer so i coud show it to friends on the goafter less than two months the sandisk microsd card started acting up it was not recognized stopped restarted removed itself reinstalled itself onto the phone erratic behavior here is where i should have taken it out immediately and tried to recover anything i could before things hit the fanunfortunately i waited too long and this morning for no other reason than i turned my phone on the card shows up as blank neither my windows pc nor my mac can even detect the card and yes i tried two different adapters and i tried the sandisk recovery which found no recoverable files even though i checked all file type extensionsive apparently lost all the pictures i had on there to top it all off my gfs cheap no name card has never had an issue in her exact same phone and keeps chugging along merrilypaying a premium for a substandard product that fails in use after two months no thanks im going back to lexar which hasnt failed me yet im also getting rid of all my sandisk cards for my dslrs just in case the fact that sandisk is the first card thats ever failed on me and a new card to boot does not inspire confidence buy and use at your own risk,"{'neg': 0.082, 'neu': 0.857, 'pos': 0.06, 'compound': -0.652}",negative
1,i am very disappointed in this card i usually dont have an issue with sandisk but this gb ultra card died after two months died as in no longer recognizable by pc camera or any device now i have to wrestle with warranty claim,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.9413}",negative
1,i bought this card for my android based phone soon i started getting messages that my card had been removed and or it was damaged tried it in my tablet same thing and this was not the first card of this brand that i had bought that experienced this problem went to several online forums to see what the solution is then someone hit upon it it just might be a problem with this brand of cardsi bought a pny brand micro sd card and had no problem whatsoever,"{'neg': 0.153, 'neu': 0.823, 'pos': 0.024, 'compound': -0.9037}",negative
1,i bought this card on the strength of the gb xdsc sandisk in my phone right now it was a gift for a friend of mine and sadly it corrupted within minutes of first useinitially it worked fine then dead we checked in a laptop and windows disk management screen told me it had a single k partition and the rest was unusable outstandingthe replacement sent by amazon thank you amazon you are always excellent is sitting in my office right now i should probably check it out,"{'neg': 0.072, 'neu': 0.719, 'pos': 0.21, 'compound': 0.891}",positive
1,worked fine in my samsung s for one year then it stopped allowing writing to the card would not format even on a pc or with another device the data is still there but cannot be erased,"{'neg': 0.04, 'neu': 0.921, 'pos': 0.039, 'compound': -0.0129}",neutral
1,my card got so hot it almost melted crazy but you card somewhere else i know i wii im not taking the chance of ruining one of my devices no thanks,"{'neg': 0.244, 'neu': 0.652, 'pos': 0.105, 'compound': -0.4803}",neutral
