Rating,Review,Score,Sentiment
1,i was looking for a kindle whitepaper i saw online for what a deal i ordered it on line and picked it up in the store i got it home and couldnt adjust the brightness after a lengthy time with online customer service i called customer service after minuets with speaking to a female elmer fud that doesnt speak english well i figured i would just return it although it looks identical to the model you can not adjust the brightness that would have been good information before i bought it,"{'neg': 0.097, 'neu': 0.869, 'pos': 0.034, 'compound': -0.5239}",negative
1,looking at the picture and seeing it was th generation i assumed it would be a great device i had an original kindle but i stopped using it because it wasnt backlit i thought an th generation would be backlit and the picture makes it look backlit but it is not after minutes on the phone with amazon trying to make it brighter the technician finally realized that th generation is not supported with backlights i took it back to target and purchased the paperwhite which was more money but definitely worth it the th generation one is smaller so i assumed that was the reason for the price difference target made the experience pleasant,"{'neg': 0.039, 'neu': 0.797, 'pos': 0.164, 'compound': 0.9393}",positive
1,purchased this device at launch pack for xx and now youtube doesnt work youtube was one of the main features that i used without youtube youll be better off buying the echo dot instead,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.4404}",neutral
1,i waited a couple months to review giving amazon time to make this product equal to the sony dash from nearly a decade ago it isnt the screen provides nothing of value and you cant turn of amazon tips you have near zero customization cant even move the clock to the other side of the screen and something that a sony dash did nearly years ago pandora or prime music as an alarm seriously this is the biggest fail run away from this half baked amazon disaster,"{'neg': 0.144, 'neu': 0.777, 'pos': 0.079, 'compound': -0.804}",negative
1,qc is really bad on this product and does not catch the voice properly,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.5849}",negative
1,worthless except as a regular echo and a poor excuse for video chat i love my echo devices bathroom pool kitchen other places where i may need hands free voice activated music and info my wife bought me the newest hottest thing i was skeptical but then thought i would use it to help on a project me alexa find videos on f drone alexa youtube is not available amazon wont directly sell chrome products youtube wont play on echo show further testing shows the video call is more limited than iphone or android apps for video so the most useful thing now is the same voice functions that my echos and dots perform unless i want to make all of my video calls and check the weather from a device i can move no more than feet from an outlet,"{'neg': 0.105, 'neu': 0.79, 'pos': 0.105, 'compound': 0.2534}",neutral
1,less than useless does not work with amazon cloudcam i purchased this from best buy to allow me to monitor my two cloud cams from my kitchen i am very tech savvy and have numerous alexa devices but have been unable to get it to work i tried installing and enabling the amazon cloudcam skill made sure there were no new updates for the show the show automatically updated when i first plugged it in the final straw was when the tech support rep told me you cant use the show with the cloudcamand then was unable to connect me with someone who could actually solve the problem useless is no help less than useless actually makes more work the echo show is less than useless,"{'neg': 0.162, 'neu': 0.727, 'pos': 0.111, 'compound': -0.7575}",negative
1,less than useless does not work with amazon cloudcam i purchased this from best buy to allow me to monitor my two cloud cams from my kitchen i am very tech savvy and have numerous alexa devices but have been unable to get it to work i tried installing and enabling the amazon cloudcam skill made sure there were no new updates for the show the show automatically updated when i first plugged it in the final straw was when the tech support rep told me you cant use the show with the cloudcamand then was unable to connect me with someone who could actually solve the problem useless is no help less than useless actually makes more work the echo show is less than useless,"{'neg': 0.162, 'neu': 0.727, 'pos': 0.111, 'compound': -0.7575}",negative
1,returned product cause i did not like it and really had no use for it,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.5556}",negative
1,would not take a charge good thing i tried before wrapping it for christmas,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.3412}",neutral
